im_name,accuracy,psnr,snr
Venus_f_0_26_14.png,95.46,22.66,12.15
Venus_f_0_26_15.png,95.74,22.77,12.26
Venus_f_0_26_16.png,77.93,17.58,7.07
Venus_f_0_26_17.png,12.58,13.11,2.6
Venus_f_0_26_18.png,95.42,22.67,12.16
Venus_f_0_26_2.png,95.42,22.67,12.16
Venus_f_0_26_3.png,95.42,22.67,12.16
Venus_f_0_26_4.png,95.42,22.67,12.16
Venus_f_0_26_5.png,95.42,22.67,12.16
Venus_f_0_26_6.png,95.42,22.67,12.16
Venus_f_0_26_7.png,95.42,22.67,12.16
Venus_f_0_26_8.png,95.43,22.68,12.16
Venus_f_0_26_9.png,95.43,22.68,12.16
Venus_f_0_27_0.png,95.42,22.67,12.16
Venus_f_0_27_1.png,95.42,22.67,12.16
Venus_f_0_27_10.png,95.42,22.67,12.16
Venus_f_0_27_11.png,95.43,22.68,12.16
Venus_f_0_27_12.png,95.42,22.67,12.16
Venus_f_0_27_13.png,95.47,22.67,12.16
Venus_f_0_27_14.png,95.46,22.66,12.15
Venus_f_0_27_15.png,95.74,22.77,12.26
Venus_f_0_27_16.png,77.93,17.58,7.07
Venus_f_0_27_17.png,12.58,13.11,2.6
Venus_f_0_27_18.png,95.42,22.67,12.16
Venus_f_0_27_2.png,95.42,22.67,12.16
Venus_f_0_27_3.png,95.42,22.67,12.16
Venus_f_0_27_4.png,95.42,22.67,12.16
Venus_f_0_27_5.png,95.42,22.67,12.16
Venus_f_0_27_6.png,95.42,22.67,12.16
Venus_f_0_27_7.png,95.42,22.67,12.16
Venus_f_0_27_8.png,95.43,22.68,12.16
Venus_f_0_27_9.png,95.43,22.68,12.16
Venus_f_0_28_0.png,95.42,22.67,12.16
Venus_f_0_28_1.png,95.42,22.67,12.16
Venus_f_0_28_10.png,95.42,22.67,12.16
Venus_f_0_28_11.png,95.43,22.68,12.16
Venus_f_0_28_12.png,95.42,22.67,12.16
Venus_f_0_28_13.png,95.47,22.67,12.16
